gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Mannelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Vrouwelijk;58
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Mannelijk;871
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Vrouwelijk;1009
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Mannelijk;482
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Vrouwelijk;672
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Mannelijk;4878
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Vrouwelijk;2587
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Mannelijk;23755
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Vrouwelijk;33625
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Mannelijk;15554
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Vrouwelijk;18508
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Mannelijk;90
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Vrouwelijk;53
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Mannelijk;562
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Vrouwelijk;894
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Mannelijk;392
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Vrouwelijk;454
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Mannelijk;198
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Vrouwelijk;128
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Mannelijk;1099
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Vrouwelijk;1586
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Mannelijk;593
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Vrouwelijk;782
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Mannelijk;73
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Vrouwelijk;32
