gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem; 0 – 14;Vrouwelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;15 – 64;Mannelijk;749
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;15 – 64;Vrouwelijk;1026
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;65 – ...;Mannelijk;488
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;65 – ...;Vrouwelijk;388
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove; 0 – 14;Mannelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove; 0 – 14;Vrouwelijk;45
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;15 – 64;Mannelijk;378
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;15 – 64;Vrouwelijk;615
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;65 – ...;Mannelijk;414
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;65 – ...;Vrouwelijk;484
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout; 0 – 14;Mannelijk;121
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout; 0 – 14;Vrouwelijk;110
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;15 – 64;Mannelijk;1143
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;15 – 64;Vrouwelijk;1398
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;65 – ...;Mannelijk;804
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;65 – ...;Vrouwelijk;835
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen); 0 – 14;Mannelijk;245
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen); 0 – 14;Vrouwelijk;193
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);15 – 64;Mannelijk;1614
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);15 – 64;Vrouwelijk;2546
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);65 – ...;Mannelijk;1558
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);65 – ...;Vrouwelijk;1539
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich; 0 – 14;Mannelijk;141
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich; 0 – 14;Vrouwelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;15 – 64;Mannelijk;1106
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;15 – 64;Vrouwelijk;2053
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;65 – ...;Mannelijk;856
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;65 – ...;Vrouwelijk;1059
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint; 0 – 14;Mannelijk;58
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint; 0 – 14;Vrouwelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;15 – 64;Mannelijk;599
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;15 – 64;Vrouwelijk;900
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;65 – ...;Mannelijk;295
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;65 – ...;Vrouwelijk;303
