gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23098.0;1620.0;Drogenbos;65 – ...;Vrouwelijk;252
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem; 0 – 14;Mannelijk;78
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem; 0 – 14;Vrouwelijk;60
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem;15 – 64;Mannelijk;693
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem;15 – 64;Vrouwelijk;776
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem;65 – ...;Mannelijk;474
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23099.0;1950.0;Kraainem;65 – ...;Vrouwelijk;586
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek; 0 – 14;Mannelijk;27
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek; 0 – 14;Vrouwelijk;21
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek;15 – 64;Mannelijk;266
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek;15 – 64;Vrouwelijk;327
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek;65 – ...;Mannelijk;140
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23100.0;1630.0;Linkebeek;65 – ...;Vrouwelijk;286
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode; 0 – 14;Mannelijk;113
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode; 0 – 14;Vrouwelijk;77
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode;15 – 64;Mannelijk;986
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode;15 – 64;Vrouwelijk;1140
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode;65 – ...;Mannelijk;699
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23101.0;1640.0;Sint-Genesius-Rode;65 – ...;Vrouwelijk;940
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel; 0 – 14;Mannelijk;168
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel; 0 – 14;Vrouwelijk;50
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel;15 – 64;Mannelijk;803
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel;15 – 64;Vrouwelijk;1275
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel;65 – ...;Mannelijk;645
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23102.0;1780.0;Wemmel;65 – ...;Vrouwelijk;889
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem; 0 – 14;Mannelijk;104
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem; 0 – 14;Vrouwelijk;39
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem;15 – 64;Mannelijk;553
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem;15 – 64;Vrouwelijk;931
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem;65 – ...;Mannelijk;520
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23103.0;1970.0;Wezembeek-Oppem;65 – ...;Vrouwelijk;483
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik; 0 – 14;Mannelijk;67
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik; 0 – 14;Vrouwelijk;73
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik;15 – 64;Mannelijk;536
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik;15 – 64;Vrouwelijk;637
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik;65 – ...;Mannelijk;427
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23104.0;1750.0;Lennik;65 – ...;Vrouwelijk;469
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem; 0 – 14;Mannelijk;115
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem; 0 – 14;Vrouwelijk;79
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem;15 – 64;Mannelijk;878
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem;15 – 64;Vrouwelijk;1104
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem;65 – ...;Mannelijk;553
Vlaams Gewest;Vlaams-Brabant;Halle-Vilvoorde;23105.0;1790.0;Affligem;65 – ...;Vrouwelijk;613
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot; 0 – 14;Mannelijk;212
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot; 0 – 14;Vrouwelijk;149
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot;15 – 64;Mannelijk;1982
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot;15 – 64;Vrouwelijk;2731
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot;65 – ...;Mannelijk;1570
Vlaams Gewest;Vlaams-Brabant;Leuven;24001.0;3200.0;Aarschot;65 – ...;Vrouwelijk;1478
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk; 0 – 14;Mannelijk;73
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk; 0 – 14;Vrouwelijk;56
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk;15 – 64;Mannelijk;624
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk;15 – 64;Vrouwelijk;798
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk;65 – ...;Mannelijk;350
Vlaams Gewest;Vlaams-Brabant;Leuven;24007.0;3130.0;Begijnendijk;65 – ...;Vrouwelijk;344
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort; 0 – 14;Mannelijk;44
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort; 0 – 14;Vrouwelijk;42
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort;15 – 64;Mannelijk;384
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort;15 – 64;Vrouwelijk;585
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort;65 – ...;Mannelijk;208
Vlaams Gewest;Vlaams-Brabant;Leuven;24008.0;3460.0;Bekkevoort;65 – ...;Vrouwelijk;294
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem; 0 – 14;Mannelijk;155
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem; 0 – 14;Vrouwelijk;152
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem;15 – 64;Mannelijk;630
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem;15 – 64;Vrouwelijk;1007
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem;65 – ...;Mannelijk;499
Vlaams Gewest;Vlaams-Brabant;Leuven;24009.0;3060.0;Bertem;65 – ...;Vrouwelijk;395
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek; 0 – 14;Mannelijk;76
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek; 0 – 14;Vrouwelijk;56
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek;15 – 64;Mannelijk;523
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek;15 – 64;Vrouwelijk;852
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek;65 – ...;Mannelijk;540
Vlaams Gewest;Vlaams-Brabant;Leuven;24011.0;3360.0;Bierbeek;65 – ...;Vrouwelijk;601
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek; 0 – 14;Mannelijk;110
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek; 0 – 14;Vrouwelijk;76
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek;15 – 64;Mannelijk;633
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek;15 – 64;Vrouwelijk;981
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek;65 – ...;Mannelijk;577
Vlaams Gewest;Vlaams-Brabant;Leuven;24014.0;3190.0;Boortmeerbeek;65 – ...;Vrouwelijk;529
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem; 0 – 14;Mannelijk;112
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem; 0 – 14;Vrouwelijk;66
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem;15 – 64;Mannelijk;515
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem;15 – 64;Vrouwelijk;714
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem;65 – ...;Mannelijk;262
Vlaams Gewest;Vlaams-Brabant;Leuven;24016.0;3370.0;Boutersem;65 – ...;Vrouwelijk;311
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest; 0 – 14;Mannelijk;290
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest; 0 – 14;Vrouwelijk;143
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest;15 – 64;Mannelijk;1565
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest;15 – 64;Vrouwelijk;1924
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest;65 – ...;Mannelijk;1096
Vlaams Gewest;Vlaams-Brabant;Leuven;24020.0;3290.0;Diest;65 – ...;Vrouwelijk;1091
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets; 0 – 14;Mannelijk;58
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets; 0 – 14;Vrouwelijk;50
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets;15 – 64;Mannelijk;475
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets;15 – 64;Vrouwelijk;542
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets;65 – ...;Mannelijk;300
Vlaams Gewest;Vlaams-Brabant;Leuven;24028.0;3450.0;Geetbets;65 – ...;Vrouwelijk;366
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht; 0 – 14;Mannelijk;112
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht; 0 – 14;Vrouwelijk;118
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht;15 – 64;Mannelijk;922
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht;15 – 64;Vrouwelijk;1200
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht;65 – ...;Mannelijk;675
Vlaams Gewest;Vlaams-Brabant;Leuven;24033.0;3150.0;Haacht;65 – ...;Vrouwelijk;566
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent; 0 – 14;Mannelijk;221
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent; 0 – 14;Vrouwelijk;136
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent;15 – 64;Mannelijk;1251
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent;15 – 64;Vrouwelijk;1879
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent;65 – ...;Mannelijk;901
Vlaams Gewest;Vlaams-Brabant;Leuven;24038.0;3020.0;Herent;65 – ...;Vrouwelijk;941
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden; 0 – 14;Mannelijk;50
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden; 0 – 14;Vrouwelijk;50
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden;15 – 64;Mannelijk;385
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden;15 – 64;Vrouwelijk;669
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden;65 – ...;Mannelijk;274
Vlaams Gewest;Vlaams-Brabant;Leuven;24041.0;3320.0;Hoegaarden;65 – ...;Vrouwelijk;189
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek; 0 – 14;Mannelijk;204
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek; 0 – 14;Vrouwelijk;39
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek;15 – 64;Mannelijk;552
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek;15 – 64;Vrouwelijk;960
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek;65 – ...;Mannelijk;401
Vlaams Gewest;Vlaams-Brabant;Leuven;24043.0;3220.0;Holsbeek;65 – ...;Vrouwelijk;458
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg; 0 – 14;Mannelijk;93
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg; 0 – 14;Vrouwelijk;62
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg;15 – 64;Mannelijk;601
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg;15 – 64;Vrouwelijk;767
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg;65 – ...;Mannelijk;355
Vlaams Gewest;Vlaams-Brabant;Leuven;24045.0;3040.0;Huldenberg;65 – ...;Vrouwelijk;329
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen; 0 – 14;Mannelijk;109
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen; 0 – 14;Vrouwelijk;89
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen;15 – 64;Mannelijk;836
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen;15 – 64;Vrouwelijk;1135
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen;65 – ...;Mannelijk;657
Vlaams Gewest;Vlaams-Brabant;Leuven;24048.0;3140.0;Keerbergen;65 – ...;Vrouwelijk;657
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken; 0 – 14;Mannelijk;70
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken; 0 – 14;Vrouwelijk;53
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken;15 – 64;Mannelijk;486
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken;15 – 64;Vrouwelijk;649
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken;65 – ...;Mannelijk;369
Vlaams Gewest;Vlaams-Brabant;Leuven;24054.0;3470.0;Kortenaken;65 – ...;Vrouwelijk;373
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg; 0 – 14;Mannelijk;153
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg; 0 – 14;Vrouwelijk;108
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg;15 – 64;Mannelijk;1213
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg;15 – 64;Vrouwelijk;1538
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg;65 – ...;Mannelijk;759
Vlaams Gewest;Vlaams-Brabant;Leuven;24055.0;3070.0;Kortenberg;65 – ...;Vrouwelijk;780
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen; 0 – 14;Mannelijk;205
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen; 0 – 14;Vrouwelijk;101
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen;15 – 64;Mannelijk;968
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen;15 – 64;Vrouwelijk;1433
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen;65 – ...;Mannelijk;731
Vlaams Gewest;Vlaams-Brabant;Leuven;24059.0;3400.0;Landen;65 – ...;Vrouwelijk;815
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven; 0 – 14;Mannelijk;834
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven; 0 – 14;Vrouwelijk;536
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven;15 – 64;Mannelijk;5390
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven;15 – 64;Vrouwelijk;7919
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven;65 – ...;Mannelijk;3825
Vlaams Gewest;Vlaams-Brabant;Leuven;24062.0;3000.0;Leuven;65 – ...;Vrouwelijk;4243
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek; 0 – 14;Mannelijk;93
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek; 0 – 14;Vrouwelijk;173
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek;15 – 64;Mannelijk;876
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek;15 – 64;Vrouwelijk;1301
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek;65 – ...;Mannelijk;806
Vlaams Gewest;Vlaams-Brabant;Leuven;24066.0;3210.0;Lubbeek;65 – ...;Vrouwelijk;700
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee; 0 – 14;Mannelijk;111
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee; 0 – 14;Vrouwelijk;59
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee;15 – 64;Mannelijk;854
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee;15 – 64;Vrouwelijk;863
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee;65 – ...;Mannelijk;555
Vlaams Gewest;Vlaams-Brabant;Leuven;24086.0;3050.0;Oud-Heverlee;65 – ...;Vrouwelijk;489
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar; 0 – 14;Mannelijk;127
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar; 0 – 14;Vrouwelijk;101
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar;15 – 64;Mannelijk;1198
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar;15 – 64;Vrouwelijk;1455
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar;65 – ...;Mannelijk;669
Vlaams Gewest;Vlaams-Brabant;Leuven;24094.0;3110.0;Rotselaar;65 – ...;Vrouwelijk;689
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren; 0 – 14;Mannelijk;196
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren; 0 – 14;Vrouwelijk;93
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren;15 – 64;Mannelijk;930
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren;15 – 64;Vrouwelijk;1485
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren;65 – ...;Mannelijk;915
Vlaams Gewest;Vlaams-Brabant;Leuven;24104.0;3080.0;Tervuren;65 – ...;Vrouwelijk;794
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen; 0 – 14;Mannelijk;336
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen; 0 – 14;Vrouwelijk;214
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen;15 – 64;Mannelijk;2208
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen;15 – 64;Vrouwelijk;3441
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen;65 – ...;Mannelijk;1526
Vlaams Gewest;Vlaams-Brabant;Leuven;24107.0;3300.0;Tienen;65 – ...;Vrouwelijk;1416
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo; 0 – 14;Mannelijk;94
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo; 0 – 14;Vrouwelijk;62
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo;15 – 64;Mannelijk;996
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo;15 – 64;Vrouwelijk;1159
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo;65 – ...;Mannelijk;604
Vlaams Gewest;Vlaams-Brabant;Leuven;24109.0;3120.0;Tremelo;65 – ...;Vrouwelijk;604
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw; 0 – 14;Mannelijk;111
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw; 0 – 14;Vrouwelijk;45
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw;15 – 64;Mannelijk;495
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw;15 – 64;Vrouwelijk;897
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw;65 – ...;Mannelijk;359
Vlaams Gewest;Vlaams-Brabant;Leuven;24130.0;3440.0;Zoutleeuw;65 – ...;Vrouwelijk;494
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter; 0 – 14;Mannelijk;59
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter; 0 – 14;Vrouwelijk;47
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter;15 – 64;Mannelijk;471
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter;15 – 64;Vrouwelijk;668
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter;65 – ...;Mannelijk;317
Vlaams Gewest;Vlaams-Brabant;Leuven;24133.0;3350.0;Linter;65 – ...;Vrouwelijk;303
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem; 0 – 14;Mannelijk;187
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem; 0 – 14;Vrouwelijk;137
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem;15 – 64;Mannelijk;1476
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem;15 – 64;Vrouwelijk;1932
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem;65 – ...;Mannelijk;953
Vlaams Gewest;Vlaams-Brabant;Leuven;24134.0;3270.0;Scherpenheuvel-Zichem;65 – ...;Vrouwelijk;1212
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge; 0 – 14;Mannelijk;120
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge; 0 – 14;Vrouwelijk;72
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge;15 – 64;Mannelijk;674
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge;15 – 64;Vrouwelijk;1000
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge;65 – ...;Mannelijk;461
Vlaams Gewest;Vlaams-Brabant;Leuven;24135.0;3390.0;Tielt-Winge;65 – ...;Vrouwelijk;586
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek; 0 – 14;Mannelijk;56
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek; 0 – 14;Vrouwelijk;29
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek;15 – 64;Mannelijk;346
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek;15 – 64;Vrouwelijk;515
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek;65 – ...;Mannelijk;307
Vlaams Gewest;Vlaams-Brabant;Leuven;24137.0;3380.0;Glabbeek;65 – ...;Vrouwelijk;261
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem; 0 – 14;Mannelijk;140
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem; 0 – 14;Vrouwelijk;114
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem;15 – 64;Mannelijk;1050
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem;15 – 64;Vrouwelijk;1279
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem;65 – ...;Mannelijk;491
Vlaams Gewest;West-Vlaanderen;Brugge;31003.0;8730.0;Beernem;65 – ...;Vrouwelijk;633
