gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Mannelijk;71
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Vrouwelijk;29
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Mannelijk;365
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Vrouwelijk;654
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Mannelijk;356
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Vrouwelijk;376
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Mannelijk;157
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Vrouwelijk;106
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Mannelijk;977
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Vrouwelijk;1394
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Mannelijk;710
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Vrouwelijk;760
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Mannelijk;178
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Vrouwelijk;194
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Mannelijk;1723
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Vrouwelijk;2497
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Mannelijk;1370
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Vrouwelijk;1350
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Mannelijk;122
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Vrouwelijk;94
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Mannelijk;1156
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Vrouwelijk;2208
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Mannelijk;836
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Vrouwelijk;962
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Mannelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Vrouwelijk;40
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Mannelijk;561
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Vrouwelijk;802
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Mannelijk;273
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Vrouwelijk;294
