gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Vrouwelijk;511
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;62
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;546
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;819
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;478
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Vrouwelijk;460
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Mannelijk;110
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Vrouwelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Mannelijk;1.093
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Vrouwelijk;1.740
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Mannelijk;1.150
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Vrouwelijk;1.297
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Mannelijk;173
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Vrouwelijk;138
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Mannelijk;1.815
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Vrouwelijk;2.520
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Mannelijk;1.764
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Vrouwelijk;1.788
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Mannelijk;154
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Vrouwelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Mannelijk;1.717
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Vrouwelijk;2.146
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;1.228
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;1.452
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;640
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;1.065
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;508
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;600
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;183
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;165
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;1.752
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Vrouwelijk;2.522
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Mannelijk;1.484
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Vrouwelijk;1.744
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Mannelijk;130
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Vrouwelijk;113
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Mannelijk;860
