région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Masculin;81
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Féminin;72
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Masculin;461
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Féminin;625
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Masculin;480
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Féminin;548
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Masculin;4091
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Féminin;3278
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Masculin;16130
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Féminin;24283
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Masculin;14821
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Féminin;19233
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Masculin;67
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Féminin;60
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Masculin;376
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Féminin;481
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Masculin;327
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Féminin;425
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Masculin;111
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Féminin;89
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Masculin;593
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Féminin;898
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Masculin;559
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Féminin;769
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Masculin;67
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Féminin;49
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Masculin;320
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Féminin;505
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Masculin;279
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Féminin;344
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Masculin;225
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Féminin;177
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Masculin;1090
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Féminin;1459
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Masculin;1197
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Féminin;1257
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Masculin;275
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Féminin;229
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Masculin;949
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Féminin;1302
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Masculin;698
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Féminin;745
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Masculin;99
