région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;90
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;57
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;445
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;544
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;597
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;553
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4785
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3838
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;15976
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;24435
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;14709
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;17337
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;55
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;54
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;342
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;526
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;380
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;381
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;145
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;110
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;639
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;830
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;633
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;699
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;115
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;70
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;338
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;520
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;346
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;339
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;224
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;189
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;1078
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1493
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;1324
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;1449
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;230
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;234
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;925
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;1292
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;879
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;907
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;123
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;102
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;578
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;853
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;907
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;917
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;118
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;107
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;578
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;803
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;530
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;450
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;53
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;57
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;379
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;533
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;338
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;343
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;27
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;32
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;211
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;285
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;272
