région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar; 0 – 14;Masculin;97
Région flamande;Anvers;Anvers;11001;2630;Aartselaar; 0 – 14;Féminin;57
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 – 64;Masculin;896
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 – 64;Féminin;1425
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 – ...;Masculin;881
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 – ...;Féminin;851
Région flamande;Anvers;Anvers;11002;2000;Anvers; 0 – 14;Masculin;6863
Région flamande;Anvers;Anvers;11002;2000;Anvers; 0 – 14;Féminin;3439
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 – 64;Masculin;32388
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 – 64;Féminin;45202
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 – ...;Masculin;21744
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 – ...;Féminin;24769
Région flamande;Anvers;Anvers;11004;2530;Boechout; 0 – 14;Masculin;75
Région flamande;Anvers;Anvers;11004;2530;Boechout; 0 – 14;Féminin;64
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 – 64;Masculin;864
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 – 64;Féminin;1226
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 – ...;Masculin;734
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 – ...;Féminin;677
Région flamande;Anvers;Anvers;11005;2850;Boom; 0 – 14;Masculin;221
Région flamande;Anvers;Anvers;11005;2850;Boom; 0 – 14;Féminin;141
Région flamande;Anvers;Anvers;11005;2850;Boom;15 – 64;Masculin;1142
Région flamande;Anvers;Anvers;11005;2850;Boom;15 – 64;Féminin;1778
Région flamande;Anvers;Anvers;11005;2850;Boom;65 – ...;Masculin;884
Région flamande;Anvers;Anvers;11005;2850;Boom;65 – ...;Féminin;887
Région flamande;Anvers;Anvers;11007;2150;Borsbeek; 0 – 14;Masculin;88
Région flamande;Anvers;Anvers;11007;2150;Borsbeek; 0 – 14;Féminin;51
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 – 64;Masculin;764
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 – 64;Féminin;1311
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 – ...;Masculin;603
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 – ...;Féminin;500
Région flamande;Anvers;Anvers;11008;2930;Brasschaat; 0 – 14;Masculin;257
Région flamande;Anvers;Anvers;11008;2930;Brasschaat; 0 – 14;Féminin;207
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 – 64;Masculin;2470
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 – 64;Féminin;3521
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 – ...;Masculin;2235
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 – ...;Féminin;2023
Région flamande;Anvers;Anvers;11009;2960;Brecht; 0 – 14;Masculin;287
Région flamande;Anvers;Anvers;11009;2960;Brecht; 0 – 14;Féminin;200
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 – 64;Masculin;2193
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 – 64;Féminin;2872
