région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Masculin;101
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Féminin;58
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Masculin;871
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Féminin;1009
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Masculin;482
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Féminin;672
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Masculin;4878
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Féminin;2587
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Masculin;23755
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Féminin;33625
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Masculin;15554
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Féminin;18508
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Masculin;90
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Féminin;53
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Masculin;562
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Féminin;894
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Masculin;392
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Féminin;454
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Masculin;198
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Féminin;128
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Masculin;1099
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Féminin;1586
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Masculin;593
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Féminin;782
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Masculin;73
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Féminin;32
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Masculin;518
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Féminin;896
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Masculin;353
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Féminin;383
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Masculin;274
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Féminin;172
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Masculin;2052
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Féminin;3184
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Masculin;1504
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Féminin;1760
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Masculin;249
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Féminin;196
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Masculin;1790
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Féminin;2576
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Masculin;973
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Féminin;955
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Masculin;100
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Féminin;54
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Masculin;1094
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Féminin;1523
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Masculin;934
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Féminin;939
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Masculin;125
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Féminin;99
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Masculin;907
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Féminin;1322
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Masculin;624
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Féminin;469
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Masculin;97
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Féminin;56
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Masculin;473
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Féminin;748
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Masculin;301
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Féminin;355
Région flamande;Anvers;Anvers;11021;2540;Hove;Enfants;Masculin;42
Région flamande;Anvers;Anvers;11021;2540;Hove;Enfants;Féminin;32
Région flamande;Anvers;Anvers;11021;2540;Hove;Actifs;Masculin;418
Région flamande;Anvers;Anvers;11021;2540;Hove;Actifs;Féminin;623
Région flamande;Anvers;Anvers;11021;2540;Hove;Retraités;Masculin;333
Région flamande;Anvers;Anvers;11021;2540;Hove;Retraités;Féminin;343
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Enfants;Masculin;136
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Enfants;Féminin;124
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Actifs;Masculin;862
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Actifs;Féminin;1185
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Retraités;Masculin;721
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Retraités;Féminin;523
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Enfants;Masculin;196
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Enfants;Féminin;148
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Actifs;Masculin;1414
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Actifs;Féminin;1885
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Retraités;Masculin;995
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Retraités;Féminin;1166
Région flamande;Anvers;Anvers;11024;2550;Kontich;Enfants;Masculin;105
Région flamande;Anvers;Anvers;11024;2550;Kontich;Enfants;Féminin;109
Région flamande;Anvers;Anvers;11024;2550;Kontich;Actifs;Masculin;1096
Région flamande;Anvers;Anvers;11024;2550;Kontich;Actifs;Féminin;1606
Région flamande;Anvers;Anvers;11024;2550;Kontich;Retraités;Masculin;793
Région flamande;Anvers;Anvers;11024;2550;Kontich;Retraités;Féminin;741
Région flamande;Anvers;Anvers;11025;2547;Lint;Enfants;Masculin;52
Région flamande;Anvers;Anvers;11025;2547;Lint;Enfants;Féminin;34
Région flamande;Anvers;Anvers;11025;2547;Lint;Actifs;Masculin;559
