région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Masculin;96
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Féminin;71
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Masculin;979
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Féminin;1163
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Masculin;895
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Féminin;765
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Masculin;6260
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Féminin;3248
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Masculin;29771
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Féminin;42292
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Masculin;18934
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Féminin;22390
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Masculin;80
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Féminin;57
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Masculin;661
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Féminin;965
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Masculin;445
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Féminin;531
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Masculin;263
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Féminin;149
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Masculin;1256
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Féminin;1778
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Masculin;892
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Féminin;909
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Masculin;93
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Féminin;52
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Masculin;743
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Féminin;1064
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Masculin;380
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Féminin;497
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Masculin;252
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Féminin;210
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Masculin;2460
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Féminin;3401
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Masculin;1972
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Féminin;1994
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Masculin;250
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Féminin;200
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Masculin;1895
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Féminin;2696
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Masculin;1282
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Féminin;1251
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Masculin;121
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Féminin;80
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Masculin;1144
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Féminin;1707
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Masculin;1011
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Féminin;1320
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Masculin;169
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Féminin;83
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Masculin;1023
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Féminin;1413
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Masculin;858
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Féminin;577
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Masculin;107
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Féminin;64
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Masculin;708
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Féminin;1051
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Masculin;553
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Féminin;348
