région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;67
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;48
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;377
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;502
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;637
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;583
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4.521
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3.639
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;15.428
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;23.450
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;14.602
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;16.653
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;59
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;93
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;442
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;575
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;437
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;407
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;133
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;114
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;640
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;839
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;617
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;675
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;115
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;71
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;325
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;548
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;376
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;335
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;201
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;139
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;1.139
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1.508
