région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1590
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1559
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;166
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;88
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;1330
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;1950
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;1072
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;1342
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;53
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;57
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;650
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;1038
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;385
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;435
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;225
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;104
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;1694
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;2234
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;1353
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1505
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;136
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;92
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;707
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;981
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;414
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;603
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;131
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;105
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;1579
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;2016
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;1102
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;1001
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;137
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;63
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;1045
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;1612
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;891
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;843
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;71
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;52
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;610
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;1063
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;587
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;471
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;136
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;98
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;1352
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;1885
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;1455
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;1228
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;280
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;289
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;2452
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;3467
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;1924
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;2177
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;217
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;125
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;1508
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;2245
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;822
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;754
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;102
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;44
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;568
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;1061
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;504
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;454
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;112
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;74
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;1209
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;1260
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;787
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;788
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;187
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;141
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;1341
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;1880
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;938
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;762
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;89
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;84
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;896
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;1536
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;653
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;781
