région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;526
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;313
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;324
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;188
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;140
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;903
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1 273
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;1 372
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;1 365
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;203
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;206
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;819
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;1 242
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Changé;5
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1 006
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;897
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;127
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;101
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Indéfinissable;0
