gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;244
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;170
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;2 545
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Vrouwelijk;3 533
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;2 416
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;3 119
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;222
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;195
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Mannelijk;2 437
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Vrouwelijk;3 376
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Mannelijk;1 976
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Vrouwelijk;1 865
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Mannelijk;160
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Vrouwelijk;127
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Mannelijk;1 395
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Vrouwelijk;1 790
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Mannelijk;1 629
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Vrouwelijk;1 915
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Mannelijk;122
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Vrouwelijk;106
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Mannelijk;1 186
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Vrouwelijk;1 622
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Mannelijk;1 002
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Vrouwelijk;1 135
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Mannelijk;107
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Vrouwelijk;59
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Mannelijk;970
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Vrouwelijk;1 295
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Mannelijk;618
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Vrouwelijk;519
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;59
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;31
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;449
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;889
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;531
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Vrouwelijk;557
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Mannelijk;77
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Vrouwelijk;142
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Mannelijk;1 168
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Vrouwelijk;1 524
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Mannelijk;1 153
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Vrouwelijk;1 394
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Mannelijk;194
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Vrouwelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Mannelijk;1 687
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Vrouwelijk;2 286
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Mannelijk;2 094
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Vrouwelijk;1 872
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Mannelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Mannelijk;1 612
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Vrouwelijk;2 085
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;1 306
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;1 558
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;49
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;593
