région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;65
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;48
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;398
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;568
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;500
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;599
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4639
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3554
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;15714
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;23984
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;14747
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;17470
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;67
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;45
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;353
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;494
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;416
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;423
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;113
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;86
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;622
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;823
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;633
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;717
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;103
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;74
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;309
