gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Vrouwelijk;51
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Mannelijk;887
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Vrouwelijk;1344
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Mannelijk;978
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Vrouwelijk;854
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Mannelijk;6295
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Vrouwelijk;3471
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Mannelijk;33927
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Vrouwelijk;46154
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Mannelijk;21644
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Vrouwelijk;24719
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Mannelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Vrouwelijk;41
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Mannelijk;895
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Vrouwelijk;1341
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Mannelijk;672
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Vrouwelijk;708
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Mannelijk;204
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Vrouwelijk;118
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Mannelijk;1286
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Vrouwelijk;1844
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Mannelijk;840
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Vrouwelijk;947
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Mannelijk;115
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Vrouwelijk;41
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Mannelijk;723
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Vrouwelijk;1277
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Mannelijk;526
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Vrouwelijk;503
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;270
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;225
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;2539
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Vrouwelijk;3731
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;2431
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;2239
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;252
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;267
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Mannelijk;2051
