région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar; 0 – 14;Masculin;71
Région flamande;Anvers;Anvers;11001;2630;Aartselaar; 0 – 14;Féminin;46
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 – 64;Masculin;395
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 – 64;Féminin;608
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 – ...;Masculin;555
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 – ...;Féminin;567
Région flamande;Anvers;Anvers;11002;2000;Anvers; 0 – 14;Masculin;4729
Région flamande;Anvers;Anvers;11002;2000;Anvers; 0 – 14;Féminin;3443
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 – 64;Masculin;15607
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 – 64;Féminin;24757
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 – ...;Masculin;14589
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 – ...;Féminin;17857
Région flamande;Anvers;Anvers;11004;2530;Boechout; 0 – 14;Masculin;45
Région flamande;Anvers;Anvers;11004;2530;Boechout; 0 – 14;Féminin;37
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 – 64;Masculin;321
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 – 64;Féminin;478
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 – ...;Masculin;285
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 – ...;Féminin;414
Région flamande;Anvers;Anvers;11005;2850;Boom; 0 – 14;Masculin;162
Région flamande;Anvers;Anvers;11005;2850;Boom; 0 – 14;Féminin;100
Région flamande;Anvers;Anvers;11005;2850;Boom;15 – 64;Masculin;582
Région flamande;Anvers;Anvers;11005;2850;Boom;15 – 64;Féminin;940
Région flamande;Anvers;Anvers;11005;2850;Boom;65 – ...;Masculin;673
Région flamande;Anvers;Anvers;11005;2850;Boom;65 – ...;Féminin;765
Région flamande;Anvers;Anvers;11007;2150;Borsbeek; 0 – 14;Masculin;70
Région flamande;Anvers;Anvers;11007;2150;Borsbeek; 0 – 14;Féminin;78
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 – 64;Masculin;324
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 – 64;Féminin;561
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 – ...;Masculin;323
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 – ...;Féminin;340
Région flamande;Anvers;Anvers;11008;2930;Brasschaat; 0 – 14;Masculin;206
Région flamande;Anvers;Anvers;11008;2930;Brasschaat; 0 – 14;Féminin;171
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 – 64;Masculin;1039
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 – 64;Féminin;1549
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 – ...;Masculin;1407
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 – ...;Féminin;1369
Région flamande;Anvers;Anvers;11009;2960;Brecht; 0 – 14;Masculin;218
Région flamande;Anvers;Anvers;11009;2960;Brecht; 0 – 14;Féminin;211
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 – 64;Masculin;969
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 – 64;Féminin;1254
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 – ...;Masculin;802
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 – ...;Féminin;818
Région flamande;Anvers;Anvers;11013;2650;Edegem; 0 – 14;Masculin;120
