région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;65 – ...;Féminin;635
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Masculin;36
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Féminin;49
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Masculin;283
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Féminin;388
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Masculin;203
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Féminin;201
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Masculin;157
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Féminin;126
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Masculin;760
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Féminin;1074
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Masculin;846
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Féminin;981
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel; 0 – 14;Masculin;82
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel; 0 – 14;Féminin;65
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;15 – 64;Masculin;346
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;15 – 64;Féminin;504
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;65 – ...;Masculin;318
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;65 – ...;Féminin;427
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst; 0 – 14;Masculin;161
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst; 0 – 14;Féminin;107
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;15 – 64;Masculin;595
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;15 – 64;Féminin;756
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;65 – ...;Masculin;560
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;65 – ...;Féminin;596
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst; 0 – 14;Masculin;87
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst; 0 – 14;Féminin;60
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;15 – 64;Masculin;555
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;15 – 64;Féminin;631
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;65 – ...;Masculin;426
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;65 – ...;Féminin;508
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle; 0 – 14;Masculin;35
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle; 0 – 14;Féminin;38
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;15 – 64;Masculin;284
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;15 – 64;Féminin;377
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;65 – ...;Masculin;289
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;65 – ...;Féminin;276
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde; 0 – 14;Masculin;136
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde; 0 – 14;Féminin;115
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;15 – 64;Masculin;486
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;15 – 64;Féminin;692
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;65 – ...;Masculin;811
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;65 – ...;Féminin;701
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten; 0 – 14;Masculin;224
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten; 0 – 14;Féminin;207
