région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;835
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;816
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;73
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;64
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;519
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;692
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;645
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;591
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;33
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;29
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;183
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;284
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;238
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;215
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;142
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;98
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;618
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;884
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;653
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;774
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;62
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;55
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;237
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;429
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;280
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;249
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;122
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;88
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;452
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;566
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;577
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;507
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;63
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;63
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;339
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;527
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;498
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;446
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;41
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;22
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;202
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;320
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;204
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;229
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;105
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;86
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;450
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;578
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;666
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;590
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;165
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;137
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;773
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;1136
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;992
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;1054
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;79
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;78
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;488
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;733
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;537
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;479
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;52
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;34
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;233
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;331
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;318
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;281
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;74
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;60
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;334
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;457
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;474
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;394
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;97
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;91
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;607
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;735
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;522
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;454
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;70
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;58
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;311
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;403
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;394
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;366
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;120
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;101
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;530
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;686
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;826
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;732
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;64
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;55
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;496
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;660
