région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;108
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;51
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;940
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1388
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;997
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;1003
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3525
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;6363
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;33927
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;46275
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;22999
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;24684
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;78
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;44
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1337
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;806
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;799
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;721
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;137
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;215
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;2076
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1386
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;1003
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;935
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;120
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;52
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1127
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;632
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;589
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;634
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;268
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;305
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3600
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2633
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;2712
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2426
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;138
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;208
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;3163
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;2195
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;1501
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1615
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;121
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;178
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;1927
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;1378
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;1692
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;1339
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;134
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;199
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;1672
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;1114
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;818
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;834
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;67
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;195
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;821
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;1131
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;612
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;514
