région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Masculin;128
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Féminin;60
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Masculin;1033
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Féminin;1206
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Masculin;623
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Féminin;745
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Masculin;6083
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Féminin;3155
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Masculin;28553
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Féminin;41097
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Masculin;17507
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Féminin;20938
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Masculin;72
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Féminin;70
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Masculin;564
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Féminin;983
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Masculin;447
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Féminin;501
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Masculin;207
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Féminin;136
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Masculin;1287
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Féminin;1727
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Masculin;672
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Féminin;791
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Masculin;111
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Féminin;44
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Masculin;680
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Féminin;994
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Masculin;396
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Féminin;489
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Masculin;277
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Féminin;195
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Masculin;2351
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Féminin;3354
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Masculin;1568
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Féminin;1797
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Masculin;257
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Féminin;213
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Masculin;1769
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Féminin;2472
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Masculin;1172
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Féminin;1189
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Masculin;127
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Féminin;79
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Masculin;1091
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Féminin;1569
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Masculin;1055
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Féminin;1155
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Masculin;189
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Féminin;111
