région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Masculin;581
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Féminin;577
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Masculin;140
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Féminin;110
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Masculin;759
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Féminin;1060
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Masculin;935
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Féminin;1033
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Masculin;129
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Féminin;72
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Masculin;653
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Féminin;838
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;65 – ...;Masculin;729
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;65 – ...;Féminin;665
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Masculin;55
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Féminin;41
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Masculin;288
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Féminin;356
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Masculin;229
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Féminin;202
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Masculin;153
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Féminin;110
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Masculin;768
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Féminin;1170
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Masculin;828
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Féminin;943
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel; 0 – 14;Masculin;69
