gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;1 372
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;1 365
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;203
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;206
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Mannelijk;819
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Vrouwelijk;1 242
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Veranderd;5
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Mannelijk;1 006
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Vrouwelijk;897
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Mannelijk;127
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Vrouwelijk;101
