gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;27
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;32
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;211
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;285
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;272
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Vrouwelijk;342
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Mannelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Vrouwelijk;82
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Mannelijk;576
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Vrouwelijk;682
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Mannelijk;559
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Vrouwelijk;615
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Mannelijk;154
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Vrouwelijk;113
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Mannelijk;737
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Vrouwelijk;1018
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Mannelijk;984
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Vrouwelijk;905
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Vrouwelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Mannelijk;629
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Vrouwelijk;876
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;679
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;688
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;31
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;243
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;407
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;210
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;227
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;181
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;804
