gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Mannelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Vrouwelijk;72
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Mannelijk;461
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Vrouwelijk;625
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Mannelijk;480
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Vrouwelijk;548
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Mannelijk;4091
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Vrouwelijk;3278
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Mannelijk;16130
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Vrouwelijk;24283
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Mannelijk;14821
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Vrouwelijk;19233
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Mannelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Mannelijk;376
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Vrouwelijk;481
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Mannelijk;327
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Vrouwelijk;425
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Mannelijk;111
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Vrouwelijk;89
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Mannelijk;593
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Vrouwelijk;898
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Mannelijk;559
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Vrouwelijk;769
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Mannelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Vrouwelijk;49
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Mannelijk;320
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Vrouwelijk;505
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Mannelijk;279
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Vrouwelijk;344
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Mannelijk;225
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Vrouwelijk;177
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Mannelijk;1090
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Vrouwelijk;1459
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Mannelijk;1197
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Vrouwelijk;1257
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Mannelijk;275
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Vrouwelijk;229
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Mannelijk;949
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Vrouwelijk;1302
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Mannelijk;698
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Vrouwelijk;745
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Mannelijk;99
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Vrouwelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Mannelijk;608
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Vrouwelijk;829
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Mannelijk;855
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Vrouwelijk;875
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Mannelijk;94
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Vrouwelijk;109
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Mannelijk;568
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Vrouwelijk;684
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Mannelijk;466
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Vrouwelijk;434
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Mannelijk;72
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Mannelijk;322
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Vrouwelijk;556
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Mannelijk;341
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Vrouwelijk;380
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Mannelijk;34
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Vrouwelijk;36
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Mannelijk;265
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Vrouwelijk;338
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Mannelijk;253
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Vrouwelijk;338
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Mannelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Vrouwelijk;91
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Mannelijk;500
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Vrouwelijk;661
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Mannelijk;544
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Vrouwelijk;446
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Mannelijk;155
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Vrouwelijk;128
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Mannelijk;657
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Vrouwelijk;1057
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Mannelijk;842
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Vrouwelijk;1011
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Mannelijk;129
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Mannelijk;586
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Vrouwelijk;777
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Mannelijk;613
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Vrouwelijk;665
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Mannelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Mannelijk;271
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Vrouwelijk;392
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Mannelijk;139
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Vrouwelijk;197
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Mannelijk;138
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Vrouwelijk;121
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Mannelijk;753
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Vrouwelijk;1097
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Mannelijk;812
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Vrouwelijk;883
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Mannelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Vrouwelijk;56
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Mannelijk;370
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Vrouwelijk;475
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Mannelijk;350
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Vrouwelijk;421
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Mannelijk;134
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Vrouwelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Mannelijk;675
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Vrouwelijk;717
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Mannelijk;500
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Vrouwelijk;536
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Mannelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Vrouwelijk;59
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Mannelijk;458
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Vrouwelijk;614
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Bejaarden;Mannelijk;527
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Bejaarden;Vrouwelijk;552
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Kinderen;Mannelijk;35
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Kinderen;Vrouwelijk;33
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Actieven;Mannelijk;279
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Actieven;Vrouwelijk;403
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Bejaarden;Mannelijk;267
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Bejaarden;Vrouwelijk;304
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Kinderen;Mannelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Kinderen;Vrouwelijk;117
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Actieven;Mannelijk;472
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Actieven;Vrouwelijk;724
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Bejaarden;Mannelijk;676
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Bejaarden;Vrouwelijk;625
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Kinderen;Mannelijk;247
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Kinderen;Vrouwelijk;218
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Actieven;Mannelijk;960
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Actieven;Vrouwelijk;1352
