gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Mannelijk;103
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Vrouwelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Mannelijk;988
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Vrouwelijk;1361
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Mannelijk;1000
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Vrouwelijk;915
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Mannelijk;6434
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Vrouwelijk;3616
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Mannelijk;34449
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Vrouwelijk;47187
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Mannelijk;22200
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Vrouwelijk;24834
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Mannelijk;76
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Vrouwelijk;51
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Mannelijk;795
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Vrouwelijk;1365
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Mannelijk;830
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Vrouwelijk;700
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Mannelijk;211
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Vrouwelijk;125
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Mannelijk;1330
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Vrouwelijk;2043
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Mannelijk;898
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Vrouwelijk;909
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Mannelijk;109
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Vrouwelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Mannelijk;653
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Vrouwelijk;1274
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Mannelijk;744
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Vrouwelijk;605
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;348
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;244
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;2594
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Vrouwelijk;3669
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;2345
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;2405
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;229
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;171
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Mannelijk;2060
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Vrouwelijk;3194
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Mannelijk;1456
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Vrouwelijk;1547
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Mannelijk;203
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Vrouwelijk;148
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Mannelijk;1394
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Vrouwelijk;1938
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Mannelijk;1383
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Vrouwelijk;1696
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Mannelijk;200
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Vrouwelijk;183
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Mannelijk;1123
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Vrouwelijk;1681
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Mannelijk;874
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Vrouwelijk;710
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Mannelijk;103
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Vrouwelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Mannelijk;970
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Vrouwelijk;1097
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Mannelijk;550
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Vrouwelijk;517
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;39
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;475
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;747
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;418
