région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;2014
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1568
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1638
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;90
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;74
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;1442
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;1926
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;1224
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;1312
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;30
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;29
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;560
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;950
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;467
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;475
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;191
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;128
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;1499
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;2173
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;1315
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1522
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;73
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;87
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;719
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;1084
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;499
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;448
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;154
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;68
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;1388
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;2010
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;1254
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;1257
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;78
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;71
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;1079
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;1377
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;831
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;799
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;60
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;33
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;600
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;1003
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;505
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;597
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;120
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;48
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;1222
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;1647
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;1569
