région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Masculin;111
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Féminin;71
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Masculin;1089
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Féminin;1335
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Masculin;876
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Féminin;798
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Masculin;6310
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Féminin;3398
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Masculin;32049
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Féminin;46874
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Masculin;20644
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Féminin;23340
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Masculin;75
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Féminin;36
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Masculin;686
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Féminin;1044
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Masculin;532
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Féminin;618
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Masculin;311
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Féminin;159
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Masculin;1260
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Féminin;1972
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Masculin;980
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Féminin;818
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Masculin;86
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Féminin;61
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Masculin;712
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Féminin;1229
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Masculin;518
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Féminin;602
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Masculin;257
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Féminin;231
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Masculin;2531
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Féminin;3577
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Masculin;2027
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Féminin;1904
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Masculin;297
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Féminin;212
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Masculin;2073
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Féminin;3173
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Masculin;1238
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Féminin;1306
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Masculin;149
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Féminin;96
