gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar; 0 – 14;Mannelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar; 0 – 14;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 – 64;Mannelijk;896
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 – 64;Vrouwelijk;1425
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 – ...;Mannelijk;881
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 – ...;Vrouwelijk;851
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen; 0 – 14;Mannelijk;6863
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen; 0 – 14;Vrouwelijk;3439
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 – 64;Mannelijk;32388
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 – 64;Vrouwelijk;45202
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 – ...;Mannelijk;21744
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 – ...;Vrouwelijk;24769
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout; 0 – 14;Mannelijk;75
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout; 0 – 14;Vrouwelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 – 64;Mannelijk;864
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 – 64;Vrouwelijk;1226
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 – ...;Mannelijk;734
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 – ...;Vrouwelijk;677
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom; 0 – 14;Mannelijk;221
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom; 0 – 14;Vrouwelijk;141
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 – 64;Mannelijk;1142
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 – 64;Vrouwelijk;1778
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 – ...;Mannelijk;884
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 – ...;Vrouwelijk;887
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek; 0 – 14;Mannelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek; 0 – 14;Vrouwelijk;51
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 – 64;Mannelijk;764
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 – 64;Vrouwelijk;1311
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 – ...;Mannelijk;603
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 – ...;Vrouwelijk;500
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat; 0 – 14;Mannelijk;257
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat; 0 – 14;Vrouwelijk;207
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 – 64;Mannelijk;2470
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 – 64;Vrouwelijk;3521
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 – ...;Mannelijk;2235
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 – ...;Vrouwelijk;2023
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht; 0 – 14;Mannelijk;287
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht; 0 – 14;Vrouwelijk;200
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 – 64;Mannelijk;2193
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 – 64;Vrouwelijk;2872
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 – ...;Mannelijk;1513
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 – ...;Vrouwelijk;1289
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem; 0 – 14;Mannelijk;166
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem; 0 – 14;Vrouwelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 – 64;Mannelijk;1247
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 – 64;Vrouwelijk;1611
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 – ...;Mannelijk;1292
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 – ...;Vrouwelijk;1618
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen; 0 – 14;Mannelijk;157
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen; 0 – 14;Vrouwelijk;118
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 – 64;Mannelijk;1182
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 – 64;Vrouwelijk;1427
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 – ...;Mannelijk;790
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 – ...;Vrouwelijk;652
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem; 0 – 14;Mannelijk;138
