région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;101
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;59
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;1.045
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1.489
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;1.156
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;1.100
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;6.326
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3.384
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;34.514
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;46.228
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;22.842
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;25.318
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;99
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;60
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;907
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1.273
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;851
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;789
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;206
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;103
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1.340
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;2.179
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;883
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;985
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;161
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;57
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;756
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1.293
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;638
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;668
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;286
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;208
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2.536
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3.801
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2.755
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;2.659
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;178
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;144
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;2.156
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;3.270
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1.784
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;1.735
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;224
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;108
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;1.349
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;1.838
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;1.343
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;1.826
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;154
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;112
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;1.141
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;1.735
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;867
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;886
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;176
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;72
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;884
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;1.287
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;452
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;460
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;67
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;120
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;527
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;830
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;497
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;533
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;97
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;80
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;1.123
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;1.530
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;985
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;1.178
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;159
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;136
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;1.708
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;2.335
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1.686
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1.810
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;141
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;114
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;1.693
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;2.164
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;1.240
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;1.312
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;57
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;84
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;665
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;1.126
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;433
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;509
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;220
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;140
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;1.731
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;2.401
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;1.220
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1.584
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;115
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;87
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;843
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;1.261
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;559
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;554
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;145
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;81
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;1.587
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;1.948
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;1.320
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;1.231
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;112
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;92
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;1.153
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;1.544
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;955
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;962
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;86
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;55
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;667
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;1.136
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;526
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;505
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;101
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;77
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;1.247
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;1.778
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;1.530
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;1.412
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;263
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;295
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;2.457
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;3.615
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;2.207
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;2.259
